Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
電梯大樓,41.36,22.56,23.0,0.0,1.0,1.0,0.0,左營區,1188.0,3.0,2.0,2.0,10,12
透天厝,21.81,21.81,43.0,0.0,1.0,1.0,0.0,三民區,1398.0,3.0,2.0,3.0,All,2
透天厝,95.26,86.47,1.0,0.0,0.0,0.0,0.0,三民區,2988.0,4.0,2.0,4.0,All,4
電梯大樓,27.28,15.76,22.0,0.0,0.0,0.0,0.0,左營區,838.0,3.0,1.0,1.0,12,14
電梯大樓,57.49,33.26,24.0,0.0,1.0,1.0,1.0,楠梓區,1588.0,4.0,2.0,2.0,14,14
透天厝,68.08,58.36,6.0,0.0,1.0,0.0,0.0,鼓山區,2388.0,5.0,2.0,4.0,All,4
透天厝,91.16,91.16,47.0,0.0,0.0,0.0,0.0,三民區,3580.0,6.0,2.0,5.0,All,3
電梯大樓,39.53,14.48,2.0,0.0,1.0,1.0,0.0,楠梓區,1398.0,2.0,2.0,2.0,6,12
電梯大樓,30.21,15.38,27.0,0.0,1.0,1.0,1.0,左營區,998.0,2.0,1.0,1.0,8,14
公寓,38.11,38.11,36.0,0.0,1.0,1.0,0.0,鼓山區,1180.0,3.0,2.0,2.0,1,5
公寓,23.99,23.99,47.0,0.0,0.0,1.0,0.0,三民區,498.0,3.0,2.0,1.0,3,4
電梯大樓,66.88,35.61,8.0,0.0,1.0,1.0,0.0,楠梓區,2688.0,3.0,2.0,2.0,3,24
電梯大樓,49.49,28.36,27.0,0.0,1.0,1.0,0.0,左營區,1280.0,3.0,2.0,2.0,3,24
電梯大樓,41.35,23.27,29.0,0.0,1.0,0.0,0.0,楠梓區,1350.0,3.0,2.0,2.0,6,9
電梯大樓,42.11,18.77,8.0,0.0,1.0,1.0,0.0,三民區,1280.0,3.0,2.0,2.0,13,15
公寓,23.67,23.67,43.0,0.0,0.0,1.0,0.0,鼓山區,980.0,3.0,2.0,2.0,1,5
